Caso;Falta;Localizacao;Contingencia;Fase;TensaoModuloCurto;TensaoAnguloCurto;CorrenteModuloCurto;CorrenteAnguloCurto;BarraOrigem;TensaoModuloOrigem;TensaoAnguloOrigem;BarraDestino;TensaoModuloDestino;TensaoAnguloDestino;Circuito;CorrenteModuloCircuito;CorrenteAnguloCircuito;Identificacao;Impedancia_Ponto;Impedancia_Mod;Impedancia_Ang
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;0 REATOR_LINHA;0.0;0.0;10R(;0.0;0.0;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;0 REATOR_LINHA;0.0;0.0;10R(;0.0;0.0;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5243 NATAL2-RN069;0.544;-65.9;2T(04T2;504.0;-89.1;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5243 NATAL2-RN069;0.55;-113.8;2T(04T2;504.0;-89.1;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5243 NATAL2-RN069;1.0;90.0;2T(04T2;504.0;-89.1;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5243 NATAL2-RN069;0.628;-29.8;2T(04T2;0.0;0.0;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5243 NATAL2-RN069;0.372;-150.3;2T(04T2;0.0;0.0;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5243 NATAL2-RN069;0.0;0.0;2T(04T2;504.0;-89.1;04T2-5241-5243-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5243 NATAL2-RN069;0.544;-65.9;3T(04T3;494.0;-89.1;04T3-5241-5243-3T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5243 NATAL2-RN069;0.55;-113.8;3T(04T3;494.0;-89.1;04T3-5241-5243-3T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5243 NATAL2-RN069;1.0;90.0;3T(04T3;494.0;-89.1;04T3-5241-5243-3T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5243 NATAL2-RN069;0.628;-29.8;3T(04T3;0.0;0.0;04T3-5241-5243-3T;;;
